School,Area,Date,Staff Count,Student Count,DateTime
Berkeley County School District,Berkeley County,8/17/2021,34,125,08/17/2021 15:39:12
Berkeley County School District,Berkeley County,8/18/2021,48,144,08/18/2021 15:33:38
Berkeley County School District,Berkeley County,8/19/2021,51,169,08/19/2021 15:51:14
Berkeley County School District,Berkeley County,8/20/2021,54,198,08/20/2021 16:13:15
Berkeley County School District,Berkeley County,8/23/2021,63,252,08/23/2021 16:36:30
Mount Holly Elementary,Goose Creek,8/17/2021,1,0,08/17/2021 15:39:12
Mount Holly Elementary,Goose Creek,8/18/2021,1,0,08/18/2021 15:33:38
Mount Holly Elementary,Goose Creek,8/19/2021,1,0,08/19/2021 15:51:14
Mount Holly Elementary,Goose Creek,8/20/2021,1,0,08/20/2021 16:13:15
Mount Holly Elementary,Goose Creek,8/23/2021,0,1,08/23/2021 16:36:30
Berkeley County School District,Berkeley County,8/24/2021,71,517,2021-08-24 08:59:02
Mount Holly Elementary,Goose Creek,8/24/2021,1,7,2021-08-24 08:59:02
Berkeley County School District,Berkeley County,8/24/2021,71,517,2021-08-24 08:59:02
Academic Services,Moncks Corner,8/24/2021,1,0,2021-08-24 08:59:02
Administrative Services,Moncks Corner,8/24/2021,0,0,2021-08-24 08:59:02
Adult Education - Hanahan,Hanahan,8/24/2021,1,0,2021-08-24 08:59:02
Adult Education - Moncks Corner,Moncks Corner,8/24/2021,0,0,2021-08-24 08:59:02
Berkeley Alternative,Moncks Corner,8/24/2021,0,0,2021-08-24 08:59:02
Berkeley Elementary,Moncks Corner,8/24/2021,0,10,2021-08-24 08:59:02
Berkeley High School,Moncks Corner,8/24/2021,1,47,2021-08-24 08:59:02
Berkeley Intermediate,Moncks Corner,8/24/2021,1,10,2021-08-24 08:59:02
Berkeley Middle,Moncks Corner,8/24/2021,0,3,2021-08-24 08:59:02
Berkeley Middle College,Moncks Corner,8/24/2021,0,0,2021-08-24 08:59:02
Board of Education,Moncks Corner,8/24/2021,0,0,2021-08-24 08:59:02
Bonner Elementary,Moncks Corner,8/24/2021,4,15,2021-08-24 08:59:02
Boulder Bluff Elementary,Goose Creek,8/24/2021,0,11,2021-08-24 08:59:02
Bowens Corner Elementary,Hanahan,8/24/2021,1,11,2021-08-24 08:59:02
Cainhoy Elementary,Huger,8/24/2021,0,2,2021-08-24 08:59:02
Cane Bay Elementary,Summerville,8/24/2021,2,10,2021-08-24 08:59:02
Cane Bay High,Summerville,8/24/2021,8,43,2021-08-24 08:59:02
Cane Bay Middle,Summerville,8/24/2021,1,22,2021-08-24 08:59:02
Capital Improvements,Moncks Corner,8/24/2021,0,0,2021-08-24 08:59:02
Career Technical Ed,Moncks Corner,8/24/2021,0,0,2021-08-24 08:59:02
CDEP,Moncks Corner,8/24/2021,0,0,2021-08-24 08:59:02
Child Nutrition,Moncks Corner,8/24/2021,0,0,2021-08-24 08:59:02
College Park Elementary,Ladson,8/24/2021,0,8,2021-08-24 08:59:02
College Park Middle,Ladson,8/24/2021,2,4,2021-08-24 08:59:02
Communications / Public Relations,Moncks Corner,8/24/2021,0,0,2021-08-24 08:59:02
Cross Elementary,Cross,8/24/2021,1,1,2021-08-24 08:59:02
Cross High,Cross,8/24/2021,1,12,2021-08-24 08:59:02
Daniel Island School,Charleston,8/24/2021,0,24,2021-08-24 08:59:02
Daniel Island School,Charleston,8/24/2021,0,24,2021-08-24 08:59:02
Dist Office Transportation,Moncks Corner,8/24/2021,1,0,2021-08-24 08:59:02
Evaluation & Leadership,Moncks Corner,8/24/2021,0,0,2021-08-24 08:59:02
Financial Services,Moncks Corner,8/24/2021,0,0,2021-08-24 08:59:02
First Steps,Moncks Corner,8/24/2021,0,0,2021-08-24 08:59:02
Foxbank Elementary,Moncks Corner,8/24/2021,0,21,2021-08-24 08:59:02
Goose Creek Elementary,Goose Creek,8/24/2021,2,8,2021-08-24 08:59:02
Goose Creek High,Goose Creek,8/24/2021,0,17,2021-08-24 08:59:02
Hanahan Elementary,Hanahan,8/24/2021,5,7,2021-08-24 08:59:02
Hanahan High,Hanahan,8/24/2021,2,13,2021-08-24 08:59:02
Hanahan Middle,Hanahan,8/24/2021,0,11,2021-08-24 08:59:02
Head Start,Moncks Corner,8/24/2021,0,0,2021-08-24 08:59:02
Howe Hall Aims,Goose Creek,8/24/2021,1,5,2021-08-24 08:59:02
Human Resources,Moncks Corner,8/24/2021,2,0,2021-08-24 08:59:02
JK Goudin Elementary,Pineville,8/24/2021,0,2,2021-08-24 08:59:02
Lowcountry Regional Stem,Moncks Corner,8/24/2021,0,0,2021-08-24 08:59:02
Macedonia Middle,Moncks Corner,8/24/2021,0,10,2021-08-24 08:59:02
Maintenance,Moncks Corner,8/24/2021,2,0,2021-08-24 08:59:02
Marrington Elementary,Goose Creek,8/24/2021,4,3,2021-08-24 08:59:02
Marrington Middle,Goose Creek,8/24/2021,0,0,2021-08-24 08:59:02
Mount Holly Elementary,Goose Creek,8/24/2021,1,7,2021-08-24 08:59:02
Nexton Elementary,Summerville,8/24/2021,3,16,2021-08-24 08:59:02
Office of Diversity,Moncks Corner,8/24/2021,0,0,2021-08-24 08:59:02
Operations / Administration,Moncks Corner,8/24/2021,0,0,2021-08-24 08:59:02
Philip Simmons Elementary,Wando,8/24/2021,0,3,2021-08-24 08:59:02
Philip Simmons High,Charleston,8/24/2021,2,8,2021-08-24 08:59:02
Philip Simmons Middle,Wando,8/24/2021,1,3,2021-08-24 08:59:02
Program Support,Moncks Corner,8/24/2021,0,0,2021-08-24 08:59:02
Safety and Security,Moncks Corner,8/24/2021,0,0,2021-08-24 08:59:02
Sangaree Elementary,Summerville,8/24/2021,3,8,2021-08-24 08:59:02
Sangaree Intermediate,Summerville,8/24/2021,1,14,2021-08-24 08:59:02
Sangaree Middle,Ladson,8/24/2021,2,18,2021-08-24 08:59:02
Sedgefield Middle,Goose Creek,8/24/2021,1,15,2021-08-24 08:59:02
Special Needs Transportation,Moncks Corner,8/24/2021,0,0,2021-08-24 08:59:02
Special Services,Moncks Corner,8/24/2021,0,0,2021-08-24 08:59:02
St. Stephen Elementary,St. Stephen,8/24/2021,0,5,2021-08-24 08:59:02
St. Stephen Middle,St. Stephen,8/24/2021,0,7,2021-08-24 08:59:02
Stratford High,Goose Creek,8/24/2021,3,29,2021-08-24 08:59:02
Teacher Forum,Moncks Corner,8/24/2021,0,0,2021-08-24 08:59:02
Technology,Moncks Corner,8/24/2021,0,0,2021-08-24 08:59:02
Timberland High,St. Stephen,8/24/2021,1,10,2021-08-24 08:59:02
Transportation - Cainhoy,Cainhoy,8/24/2021,1,0,2021-08-24 08:59:02
Transportation - Cross,Cross,8/24/2021,0,0,2021-08-24 08:59:02
Transportation - Goose Creek,Goose Creek,8/24/2021,0,0,2021-08-24 08:59:02
Transportation - Moncks Corner,Moncks Corner,8/24/2021,2,0,2021-08-24 08:59:02
Transportation - St. Stephen,St. Stephen,8/24/2021,0,0,2021-08-24 08:59:02
Westview Elementary,Goose Creek,8/24/2021,0,6,2021-08-24 08:59:02
Westview Middle,Goose Creek,8/24/2021,3,14,2021-08-24 08:59:02
Westview Primary,Goose Creek,8/24/2021,2,7,2021-08-24 08:59:02
Whitesville Elementary,Moncks Corner,8/24/2021,1,9,2021-08-24 08:59:02
Berkeley County School District,Berkeley County,8/25/2021,76,572,2021-08-25 03:29:15
Academic Services,Moncks Corner,8/25/2021,1,0,2021-08-25 03:29:15
Administrative Services,Moncks Corner,8/25/2021,0,0,2021-08-25 03:29:15
Adult Education - Hanahan,Hanahan,8/25/2021,1,0,2021-08-25 03:29:15
Adult Education - Moncks Corner,Moncks Corner,8/25/2021,0,0,2021-08-25 03:29:15
Berkeley Alternative,Moncks Corner,8/25/2021,0,0,2021-08-25 03:29:15
Berkeley Elementary,Moncks Corner,8/25/2021,1,12,2021-08-25 03:29:15
